a0,r,rho,pressure_r,pressure_t,anisotropy
0.08,5.1715013086932764e-05,0.003200000005753874,-0.001066666665891408,-0.0010666666651044238,7.869841930907562e-13
0.08,5.417002600215032e-05,0.0032000000063096157,-0.0010666666658149132,-0.0010666666649513886,8.635245296595428e-13
0.08,5.71187816912974e-05,0.0032000000070111913,-0.0010666666657183387,-0.0010666666647581966,9.60142122058416e-13
0.08,5.9830322081278526e-05,0.0032000000076891407,-0.0010666666656250147,-0.0010666666645715124,1.0535023374502739e-12
0.08,6.308719706623182e-05,0.0032000000085449917,-0.001066666665507195,-0.0010666666643358417,1.1713531620355377e-12
0.08,6.608206981860106e-05,0.003200000009372024,-0.0010666666653933407,-0.0010666666641081094,1.2852312530203802e-12
0.08,6.967925988309304e-05,0.00320000001041608,-0.0010666666652496078,-0.0010666666638206176,1.4289901727193577e-12
0.08,7.298707076285124e-05,0.003200000011424977,-0.0010666666651107128,-0.0010666666635428088,1.567904009749932e-12
0.08,7.696013586969808e-05,0.0032000000126986205,-0.0010666666649353665,-0.0010666666631920995,1.7432669890959929e-12
0.08,8.061358418652248e-05,0.0032000000139293747,-0.001066666664765925,-0.0010666666628532022,1.9127228013254838e-12
0.08,8.500180000504746e-05,0.0032000000154830946,-0.0010666666645520176,-0.0010666666624253734,2.1266441298933847e-12
0.08,8.903700186177581e-05,0.003200000016984492,-0.001066666664345313,-0.0010666666620119528,2.333360284503816e-12
0.08,9.388374802678759e-05,0.0032000000188798774,-0.0010666666640843647,-0.0010666666614900457,2.594319073803697e-12
0.08,9.834059334455514e-05,0.0032000000207114327,-0.001066666663832203,-0.0010666666609857143,2.846488669772107e-12
0.08,0.00010369378228500988,0.003200000023023615,-0.0010666666635138695,-0.0010666666603490402,3.1648292927316524e-12
0.08,0.000108616329134404,0.0032000000252579326,-0.001066666663206256,-0.001066666659733807,3.472448890928792e-12
0.08,0.00011452887971092798,0.0032000000280785644,-0.0010666666628179192,-0.001066666658957128,3.8607912439952985e-12
0.08,0.0001207632811048988,0.00320000003121464,-0.0010666666623861528,-0.0010666666580935907,4.29256218244245e-12
0.08,0.00012649615048072576,0.003200000034245104,-0.0010666666619689256,-0.0010666666572591345,4.709791150830922e-12
